stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
TOTOUS,,Touraine,43.123909,5.963614,,,0,,,1,,
TOTRAE,,Tranchée,43.137082,5.91477,,,0,,,1,,
TOTRAO,,Tranchée,43.137157,5.914494,,,0,,,1,,
TOTRON,,"Terres Rouges",43.148536,5.975696,,,0,,,1,,
TOTROS,,"Terres Rouges",43.148251,5.976142,,,0,,,1,,
TOTRUE,,Trucy,43.134416,5.92682,,,0,,,1,,
TOTRUO,,Trucy,43.134443,5.926713,,,0,,,1,,
TOTULE,,Tulipes,43.133367,5.881954,,,0,,,1,,
TOTULO,,Tulipes,43.133232,5.881881,,,0,,,1,,
TOUBAN,,"Uba (Favières)",43.151006,5.969708,,,0,,,1,,
TOUBAS,,"Uba (Favières)",43.151243,5.968924,,,0,,,1,,
TOVABE,,Valbertrand,43.140089,5.894227,,,0,,,1,,
TOVABO,,Valbertrand,43.140264,5.893855,,,0,,,1,,
TOVAFE,,"Val Fleuri",43.132885,5.938254,,,0,,,1,,
TOVAFO,,"Val Fleuri",43.133447,5.938084,,,0,,,1,,
TOVALN,,Valérie,43.112976,5.944115,,,0,,,1,,
TOVAUS,,Vauban,43.125728,5.927914,,,0,,,1,,
TOVENN,,Vence,43.137481,5.928612,,,0,,,1,,
TOVIEN,,"La Vierge",43.163812,5.931197,,,0,,,1,,
TOVIES,,"La Vierge",43.163947,5.932312,,,0,,,1,,
TOVINE,,Vincent,43.131367,5.926255,,,0,,,1,,
TOVINO,,Vincent,43.131223,5.926217,,,0,,,1,,
TOZOUE,,Zoursons,43.130991,5.884342,,,0,,,1,,
TOZOUN,,Zoursons,43.131246,5.88465,,,0,,,1,,
VA11NN,,"11 Novembre",43.138536,5.993536,,,0,,,1,,
VA11NS,,"11 Novembre",43.138525,5.993714,,,0,,,1,,
VAAMPE,,"Ampère (Coupiane)",43.134454,5.99751,,,0,,,1,,
VAAMPO,,"Ampère (Coupiane)",43.134375,5.997284,,,0,,,1,,
VAANGE,,"Les Anges",43.14332,6.002764,,,0,,,1,,
VAANGO,,"Les Anges",43.143373,6.002534,,,0,,,1,,
VAAVUN,,"Av de l'Université",43.137388,6.006823,,,0,,,1,,
VAAVUS,,"Av de l'Université",43.137294,6.00653,,,0,,,1,,
VABIGN,,Bigue,43.141553,6.003286,,,0,,,1,,
VABIGS,,Bigue,43.14178,6.004626,,,0,,,1,,
VABOSE,,Bosquette,43.137223,5.977765,,,0,,,1,,
VABOSO,,Bosquette,43.137074,5.977535,,,0,,,1,,
VABOST,,"Collège Bosco",43.132152,5.99375,,,0,,,1,,
VABOU2,,"Bouttuen 2",43.142606,5.995466,,,0,,,1,,
VABOU3,,"Bouttuen 2",43.142434,5.995548,,,0,,,1,,
VABROE,,Brossolette,43.137394,5.98754,,,0,,,1,,
VABROO,,Brossolette,43.137264,5.987355,,,0,,,1,,
VACALN,,Calabro,43.146298,6.006511,,,0,,,1,,
VACALS,,Calabro,43.146142,6.006247,,,0,,,1,,
VACAMN,,Campus,43.137865,6.013965,,,0,,,1,,
VACAMS,,Campus,43.137753,6.014507,,,0,,,1,,
VACAON,,Caounes,43.142409,5.998179,,,0,,,1,,
VACAOS,,Caounes,43.142278,5.99827,,,0,,,1,,
VACHAN,,Chanterelle,43.140389,5.998802,,,0,,,1,,
VACHAS,,Chanterelle,43.140037,5.998187,,,0,,,1,,
VACHVN,,"Char Verdun",43.138311,5.985907,,,0,,,1,,
VACOUE,,"Coudon 2",43.156339,5.973741,,,0,,,1,,
VACOUN,,"Coudon 1",43.15622,5.968843,,,0,,,1,,
VACOUS,,"Coudon 1",43.155751,5.969428,,,0,,,1,,
VACRAN,,"Les Craus",43.140982,5.989278,,,0,,,1,,
VACRAS,,"Les Craus",43.140933,5.989223,,,0,,,1,,
VACTON,,"Cimetière Tourris",43.159364,5.970103,,,0,,,1,,
VADAPE,,"Daudet (La Valette)",43.140294,5.978791,,,0,,,1,,
VADAPO,,"Daudet (La Valette)",43.140521,5.978751,,,0,,,1,,
VADEBN,,Debussy,43.131295,5.989321,,,0,,,1,,
VADEBS,,Debussy,43.131203,5.989332,,,0,,,1,,
VADGA1,,"De Gaulle",43.136906,5.985425,,,0,,,1,,
VADGA2,,"De Gaulle",43.13679,5.985416,,,0,,,1,,
VAENGN,,Engouvins,43.129458,5.986579,,,0,,,1,,
VAENGS,,Engouvins,43.129335,5.986292,,,0,,,1,,
VAEPAE,,"Ecole P.Arene",43.140034,5.990917,,,0,,,1,,
VAEPAO,,"Ecole P.Arene",43.140023,5.990774,,,0,,,1,,
VAESP1,,Espaluns,43.136969,6.001783,,,0,,,1,,
VAESP2,,Espaluns,43.136824,6.002149,,,0,,,1,,
VAESP3,,Espaluns,43.1367,6.000814,,,0,,,1,,
